Time,Temperature - E+R IAQ 3 F,Humidity - E+R IAQ 3 %,Carbon Dioxide (CO2) - E+R IAQ 3 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 3 ppb,Particulate Matter (PM2.5) - E+R IAQ 3 ug/m3,Particulate Matter (PM10) - E+R IAQ 3 ug/m3,Formaldehyde (HCHO) - E+R IAQ 3 mg/m3,Carbon Monoxide (CO) - E+R IAQ 3 ppm,Temperature - E+R IAQ 8 F,Humidity - E+R IAQ 8 %,Carbon Dioxide (CO2) - E+R IAQ 8 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 8 ppb,Particulate Matter (PM2.5) - E+R IAQ 8 ug/m3,Particulate Matter (PM10) - E+R IAQ 8 ug/m3,Formaldehyde (HCHO) - E+R IAQ 8 mg/m3,Carbon Monoxide (CO) - E+R IAQ 8 ppm,Temperature - E+R IAQ 1 F,Humidity - E+R IAQ 1 %,Carbon Dioxide (CO2) - E+R IAQ 1 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 1 ppb,Particulate Matter (PM2.5) - E+R IAQ 1 ug/m3,Particulate Matter (PM10) - E+R IAQ 1 ug/m3,Formaldehyde (HCHO) - E+R IAQ 1 mg/m3,Carbon Monoxide (CO) - E+R IAQ 1 ppm,Temperature - E+R IAQ 5 F,Humidity - E+R IAQ 5 %,Carbon Dioxide (CO2) - E+R IAQ 5 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 5 ppb,Particulate Matter (PM2.5) - E+R IAQ 5 ug/m3,Particulate Matter (PM10) - E+R IAQ 5 ug/m3,Formaldehyde (HCHO) - E+R IAQ 5 mg/m3,Carbon Monoxide (CO) - E+R IAQ 5 ppm,Temperature - E+R IAQ 11 F,Humidity - E+R IAQ 11 %,Carbon Dioxide (CO2) - E+R IAQ 11 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 11 ppb,Particulate Matter (PM2.5) - E+R IAQ 11 ug/m3,Particulate Matter (PM10) - E+R IAQ 11 ug/m3,Formaldehyde (HCHO) - E+R IAQ 11 mg/m3,Carbon Monoxide (CO) - E+R IAQ 11 ppm,Temperature - E+R  IAQ 10 F,Humidity - E+R  IAQ 10 %,Carbon Dioxide (CO2) - E+R  IAQ 10 ppm,Volatile Organic Compounds (VOC) - E+R  IAQ 10 ppb,Particulate Matter (PM2.5) - E+R  IAQ 10 ug/m3,Particulate Matter (PM10) - E+R  IAQ 10 ug/m3,Formaldehyde (HCHO) - E+R  IAQ 10 mg/m3,Carbon Monoxide (CO) - E+R  IAQ 10 ppm
9/22/2023 13:40,,,,,,,,,73.40460986,57.86375427,632,183,22,25,0.02,0.13,79.04654749,58.51416016,510,56,15,16,0.02,2.171,,,,,,,,,77.98958911,56.08992004,760,0,12,12,0.006,,73.9306759,56.09945679,489,2,86,91,0,2.519
9/22/2023 13:45,73.99824402,49.36651611,742,0,156,175,0,3.391,73.39495728,57.57192993,640,167,22,23,0.02,0.028,79.07067896,58.29481506,525,77,15,16,0.02,1.822,,,,,,,,,73.68453491,59.96183777,553,0,14,14,0,0,73.79553967,56.67738342,455,4,65,74,0,1.85
9/22/2023 13:50,74.26369019,49.43327332,762,0,148,165,0,2.38,73.53974609,56.96730042,624,62,18,20,0.008,0,79.14789966,58.00680542,534,83,15,15,0.02,1.48,,,,,,,,,,,,,,,,,74.12855396,56.78800964,446,10,60,71,0,1.495
9/22/2023 13:55,74.09959619,49.21774292,728,0,127,140,0,1.545,73.51561462,56.64686584,621,131,18,20,0.018,0,79.25890442,58.06784058,543,85,15,15,0.02,1.148,,,,,,,,,70.9866366,63.91958618,525,15,11,11,0,0,74.31195313,56.82043457,452,63,81,86,0,1.253
9/22/2023 14:00,,,,,,,,,73.40943616,56.4961853,631,126,19,20,0.02,0,79.38921436,58.34440613,550,89,15,15,0.02,0.885,77.70483777,50.77986145,542,0,24,26,0,102.693,,,,,,,,,74.11407507,56.54959106,453,3,50,62,0,0.756
9/22/2023 14:05,,,,,,,,,73.3756521,56.45613098,634,115,17,18,0.021,0,79.49056653,58.57519531,557,95,14,15,0.02,0.636,74.07063843,54.45913696,453,0,25,28,0,31.336,,,,,,,,,74.63048853,55.98883057,419,0,43,53,0,0.445
9/22/2023 14:10,,,,,,,,,73.35152063,56.26730347,630,105,16,18,0.02,0,79.514698,58.86129761,570,100,14,15,0.02,0.419,73.00402747,55.25831604,431,0,21,23,0,23.575,,,,,,,,,75.17585974,55.61499023,407,15,46,55,0,0.214
9/22/2023 14:15,,,,,,,,,73.36117322,56.13378906,627,82,15,16,0.02,0,79.53400317,58.85557556,583,103,13,13,0.022,0.192,72.24147302,56.45422363,424,1,15,15,0,17.164,,,,,,,,,74.92006616,55.05613708,411,87,57,68,0,0.099
9/22/2023 14:20,,,,,,,,,73.39978357,55.92207336,622,69,14,15,0.02,0,79.55813464,58.69726563,591,109,13,14,0.027,0.033,72.20286267,56.01553345,419,0,12,12,0,13.661,71.23277759,63.74983215,522,14,10,10,0,0,74.13820654,55.5272522,414,39,52,61,0,0
9/22/2023 14:25,,,,,,,,,73.40460986,55.88774109,618,52,14,15,0.02,0,79.61122388,58.54086304,601,117,14,14,0.029,0,72.17390491,56.5705719,411,0,9,10,0,11.362,71.89880615,63.20051575,517,16,11,11,0,0,74.28782166,55.71035767,399,1,40,48,0,0
9/22/2023 14:30,,,,,,,,,73.36117322,55.85722351,616,63,13,15,0.02,0,79.64983423,58.84031677,604,128,13,14,0.03,0,72.06290015,55.85150146,405,0,9,9,0,9.724,72.4152196,62.81523132,542,11,11,12,0,0,74.74149329,55.65313721,388,15,39,47,0,0
9/22/2023 14:35,,,,,,,,,73.3756521,55.66648865,614,47,14,15,0.02,0,79.65466052,59.14358521,613,133,13,13,0.03,0,72.12564197,55.9354248,400,1,9,10,0,8.56,,,,,,,,,74.95385022,55.2487793,388,64,41,49,0,0
9/22/2023 14:40,,,,,,,,,73.38530469,55.58256531,610,44,13,13,0.02,0,79.66431311,59.14358521,620,137,12,12,0.03,0,71.9422428,55.12861633,394,0,8,9,0,7.506,,,,,,,,,74.2540376,55.47575378,389,43,38,45,0,0
9/22/2023 14:45,,,,,,,,,73.40460986,55.49482727,608,10,12,13,0.018,0,,,,,,,,,72.12564197,55.43569946,390,2,8,8,0,6.843,,,,,,,,,,,,,,,,
9/22/2023 14:50,,,,,,,,,73.49630945,55.41471863,597,26,12,12,0.013,0,,,,,,,,,71.96637427,54.6880188,382,0,8,8,0,6.144,,,,,,,,,74.93454504,55.67221069,379,52,34,39,0,0
9/22/2023 14:55,,,,,,,,,73.42874133,55.21253967,602,74,11,12,0.02,0,79.74153381,58.45884705,651,8,12,13,0.03,0,72.08703162,54.85968018,378,3,7,7,0,5.667,72.60344507,63.31304932,524,34,11,11,0,0,74.64014111,54.91308594,403,171,117,126,0,0
9/22/2023 15:00,,,,,,,,,73.40943616,55.25831604,616,89,10,10,0.02,0,79.87667004,57.79699707,654,5,13,13,0.027,0,71.96154797,53.96704102,375,1,7,7,0,5.194,,,,,,,,,74.15751172,55.48529053,414,153,142,148,0,0
9/22/2023 15:05,74.71253552,50.66351318,988,0,86,93,0.01,0,73.3756521,55.40327454,631,125,10,11,0.021,0,80.00697998,57.25531006,631,36,12,13,0.02,0,71.99533203,54.7624054,371,5,7,7,0,4.788,,,,,,,,,74.67875146,55.74468994,409,83,93,98,0,0
9/22/2023 15:10,,,,,,,,,73.41908875,55.46812439,645,151,10,11,0.026,0,80.05524292,57.37547302,646,79,13,13,0.029,0,72.02911609,54.25505066,369,3,7,7,0,4.55,,,,,,,,,75.01176575,55.53297424,411,116,84,87,0,0
9/22/2023 15:15,,,,,,,,,73.5349198,55.3155365,645,803,10,11,0.069,0,80.11798474,57.77792358,671,93,12,13,0.03,0,72.12081567,54.57357788,366,7,7,7,0,4.274,72.48761401,64.25527954,519,133,14,14,0.01,0,74.50500488,54.77003479,413,133,67,75,0,0
9/22/2023 15:20,74.77045105,48.67224121,802,0,56,70,0,0,73.63144568,55.34986877,634,937,17,19,0.067,0,80.19520544,57.9705658,676,91,12,13,0.03,0,72.03394238,54.2645874,364,2,7,8,0,3.966,71.83123804,64.69778442,519,73,13,13,0.004,0,74.35538977,55.95259094,425,196,151,159,0,0
9/22/2023 15:25,,,,,,,,,73.6169668,55.18774414,636,1078,28,33,0.06,0,80.26277356,57.69400024,675,74,13,13,0.03,0,72.28490967,54.41526794,362,9,7,7,0,3.877,,,,,,,,,74.93937134,55.62452698,454,352,204,213,0.006,0
9/22/2023 15:30,,,,,,,,,73.56387756,55.04850769,635,947,14,15,0.043,0,80.29655762,57.19618225,663,69,14,14,0.03,0,72.27043079,54.6212616,367,2,7,7,0,3.66,,,,,,,,,,,,,,,,
9/22/2023 15:35,,,,,,,,,73.53974609,54.79483032,635,1519,14,15,0.07,0,80.36412573,56.74986267,642,61,13,14,0.03,0,72.76753906,54.62507629,367,47,12,12,0,3.283,,,,,,,,,,,,,,,,
9/22/2023 15:40,,,,,,,,,73.57835645,54.77194214,638,1625,13,15,0.067,0,80.40273608,56.58583069,621,59,13,13,0.03,0,72.29456226,53.10110474,378,75,15,15,0.007,3.386,,,,,,,,,74.53396265,55.34033203,477,464,220,230,0.008,0
9/22/2023 15:45,74.54361523,48.51393127,726,0,37,46,0,0,73.54939868,54.84060669,652,1544,12,13,0.053,0,80.45582532,56.38174438,614,62,13,14,0.03,0,72.1015105,54.0566864,394,82,7,7,0.01,3.033,,,,,,,,,75.17103345,55.05041504,482,559,287,298,0.012,0
9/22/2023 15:50,74.86697693,48.98886108,796,0,106,118,0.01,0,73.59283533,54.98556519,660,1404,13,13,0.041,0,80.54269861,56.07847595,637,80,63,69,0.03,0,72.50691919,53.95750427,420,73,7,8,0.009,3.133,,,,,,,,,75.03107092,54.54496765,480,353,166,172,0,0
9/22/2023 15:55,74.8862821,48.28886414,762,0,70,79,0.001,0,73.71831897,54.88447571,654,1214,12,13,0.026,0,80.73092407,55.92207336,669,123,135,145,0.037,0,72.4152196,52.71963501,408,25,9,10,0,2.894,,,,,,,,,74.78010364,55.39373779,472,392,118,122,0,0
9/22/2023 16:00,74.44708936,47.53164673,738,0,57,69,0,0,73.6941875,54.93597412,654,1099,12,13,0.029,0,81.04463318,56.87384033,683,195,139,150,0.04,0,71.9422428,52.87794495,407,8,8,8,0,2.535,,,,,,,,,75.47508997,55.3079071,466,298,87,91,0,0
9/22/2023 16:05,74.22507983,47.81774902,727,0,51,64,0,0,73.65075085,54.90927124,660,1028,11,11,0.03,0,81.31973193,58.6686554,693,243,193,205,0.049,0,72.40074072,53.56077576,445,28,8,9,0,2.651,,,,,,,,,75.25308044,54.38093567,453,282,141,152,0,0
9/22/2023 16:10,74.42778418,48.17251587,724,0,47,61,0,0,73.66040344,54.64414978,669,975,11,12,0.03,0,,,,,,,,,72.02911609,52.87794495,437,4,8,8,0,2.366,,,,,,,,,,,,,,,,
9/22/2023 16:15,74.26369019,48.17823792,723,0,45,55,0,0,73.64109827,54.57929993,681,920,10,11,0.03,0,81.2666427,58.8059845,680,184,141,150,0.04,0,72.26560449,53.4291687,439,19,8,9,0,2.397,,,,,,,,,75.31099597,55.26213074,502,780,519,577,0.024,0
9/22/2023 16:20,74.53396265,48.65126038,753,0,42,51,0,0,73.60731421,54.65177917,691,873,10,11,0.036,0,81.19424829,58.12124634,648,156,125,132,0.04,0,72.14977344,52.41255188,446,12,8,8,0,2.235,,,,,,,,,75.22894897,54.74714661,510,831,352,390,0.012,0
9/22/2023 16:25,74.45674194,48.13818359,738,0,39,48,0,0,73.6121405,54.52017212,704,809,10,11,0.033,0,81.17976941,57.64250183,616,142,113,120,0.04,0,72.31869373,53.77249146,464,20,8,8,0,2.258,,,,,,,,,75.1324231,55.34414673,494,709,352,399,0.003,0
9/22/2023 16:30,74.35538977,48.18014526,737,0,36,45,0.002,0,73.6169668,54.52970886,711,756,9,10,0.038,0,81.20872717,56.94441223,603,120,102,108,0.04,0,72.37178296,52.58612061,473,16,15,16,0,2.253,71.95672168,63.74220276,490,43,11,11,0,0,75.34960632,55.21444702,496,830,346,379,0.004,0
9/22/2023 16:35,74.70770923,48.64172363,798,0,34,42,0.018,0,73.67488232,54.57167053,713,699,8,9,0.033,0,81.38247375,56.69645691,599,123,98,105,0.04,0,72.22216785,53.45014954,468,8,26,27,0,2.108,71.55613928,64.01686096,485,109,11,11,0.015,0,74.8090614,60.89834595,485,1176,246,265,0.043,0
9/22/2023 16:40,74.73666699,48.06761169,766,0,119,132,0.007,0,73.65557715,54.61172485,720,683,9,9,0.039,0,81.55622034,56.71934509,593,130,96,101,0.04,0,72.59861877,52.63761902,466,27,29,32,0,2.229,,,,,,,,,,,,,,,,
9/22/2023 16:45,74.58222559,47.45916748,757,0,137,149,0.003,0,73.66522974,54.39428711,726,630,9,9,0.039,0,81.70583545,56.44277954,591,138,94,100,0.04,0,72.2559519,52.39729309,454,4,25,27,0,1.933,,,,,,,,,75.26273303,58.43405151,436,507,157,169,0,0
9/22/2023 16:50,74.53878894,47.84254456,771,0,166,185,0.009,0,73.6941875,54.36949158,730,586,9,9,0.039,0,81.84097168,56.0765686,592,136,88,94,0.04,0,72.5020929,52.96377563,445,15,22,23,0,1.976,,,,,,,,,75.09863904,56.82997131,451,412,129,135,0,0
9/22/2023 16:55,74.87662952,48.19158936,822,0,135,152,0.001,0,73.70866638,54.39237976,734,563,8,9,0.04,0,81.94715015,56.02697754,585,140,86,92,0.04,0,72.32352002,51.90328979,444,9,23,25,0,1.822,74.00789661,80.65466309,620,223,17,20,0,216.247,75.24342786,56.90435791,447,304,105,111,0,0
9/22/2023 17:00,74.71736182,48.08668518,826,0,109,119,0.001,0,73.72314526,54.36949158,744,539,8,8,0.04,0,82.03402344,56.07275391,582,145,83,89,0.04,0,72.46348254,52.40682983,440,7,32,35,0,1.861,74.36986865,80.12251282,605,203,15,16,0,,75.63918396,56.3626709,446,289,96,100,0,0
9/22/2023 17:05,74.58705188,47.68423462,834,0,87,95,0.001,0,73.73762415,54.25314331,755,521,8,9,0.04,0,82.11607043,56.06321716,578,148,80,85,0.04,0,72.34765149,51.80410767,439,8,27,29,0,1.795,74.53396265,79.51597595,579,200,16,18,0,,75.94324048,55.88392639,444,266,93,98,0,0
9/22/2023 17:10,74.71736182,47.91311646,849,0,150,171,0,0,73.73762415,54.15014648,760,503,10,11,0.04,0,82.20777002,56.01553345,574,148,76,83,0.04,0,72.42969849,52.60710144,434,8,19,19,0,1.778,74.60635706,78.58900452,583,196,16,18,0,,76.13146594,55.59973145,437,251,92,97,0,0
9/22/2023 17:15,74.90558728,47.90548706,868,0,327,382,0,0,73.72797156,54.19592285,766,491,9,10,0.04,0,82.24155408,56.22724915,567,157,76,81,0.04,0,72.41039331,51.56950378,432,13,19,19,0,1.712,74.64496741,78.13314819,591,195,16,18,0,0,76.247297,55.35177612,427,230,88,93,0,0
9/22/2023 17:20,,,,,,,,,73.74245044,54.04142761,776,471,9,9,0.04,0,82.25603296,56.31117249,564,161,74,80,0.04,0,72.30904114,52.30955505,427,7,24,25,0,1.582,74.68357776,76.86476135,596,190,16,18,0,0,76.36795435,55.43569946,426,259,104,109,0,0
9/22/2023 17:25,,,,,,,,,73.74727673,54.05477905,780,443,9,10,0.038,0,82.31877478,56.27493286,563,166,71,78,0.04,0,72.70479724,51.97386169,432,34,19,20,0,0.744,,,,,,,,,76.49343799,55.41281128,438,312,185,196,0,0
9/22/2023 17:30,,,,,,,,,73.81001855,54.0566864,782,429,8,9,0.037,0,82.39116919,56.292099,559,173,70,77,0.04,0,72.17390491,51.39593506,443,31,16,16,0,1.51,,,,,,,,,76.63340051,55.21444702,442,257,158,166,0,0
9/22/2023 17:35,74.54844153,47.65180969,869,0,380,443,0,0,73.81967114,54.04524231,784,414,9,9,0.04,0,82.43943213,56.38365173,556,182,67,75,0.045,0,72.52622437,52.42399597,460,39,19,20,0,1.21,,,,,,,,,76.7251001,55.1743927,448,415,345,364,0.004,0
9/22/2023 17:40,74.50017859,47.47633362,862,0,306,353,0,0,73.83415002,54.05477905,788,403,8,8,0.036,0,82.51182654,56.12997437,550,168,65,74,0.047,0,72.37178296,50.96868896,470,55,21,22,0,1.448,,,,,,,,,,,,,,,,
9/22/2023 17:45,74.80423511,47.647995,876,0,290,338,0,0,73.81967114,54.04905701,794,381,9,9,0.035,0,82.69522571,55.51008606,522,117,55,68,0.036,0,72.32352002,52.0406189,470,40,18,19,0,1.434,,,,,,,,,76.87471521,54.98365784,452,225,172,181,0,0
9/22/2023 17:50,74.66909888,47.358078,849,0,249,290,0,0,73.82449744,53.99946594,799,359,9,10,0.033,0,82.7048783,56.30163574,518,149,53,66,0.041,0,72.51174548,51.37686157,468,45,18,18,0,1.246,,,,,,,,,76.95676221,54.8959198,448,201,146,152,0,0
9/22/2023 17:55,74.78010364,48.32319641,838,0,223,252,0,0,73.80519226,54.01663208,802,356,8,9,0.035,0,82.73383606,57.29154968,538,181,53,66,0.05,0,72.04842126,51.04498291,457,25,17,17,0,1.251,,,,,,,,,77.01950403,54.7624054,437,163,118,125,0,0
9/22/2023 18:00,75.07933386,48.74662781,846,0,200,230,0,0,73.81967114,53.96131897,809,340,9,10,0.032,0,82.71935718,57.76838684,565,185,52,65,0.05,0,72.39591443,51.37876892,450,29,17,18,0,1.325,,,,,,,,,77.01950403,54.73379517,430,167,104,108,0,0
9/22/2023 18:05,74.77045105,47.73764038,820,0,170,193,0,0,73.80519226,53.95559692,815,330,9,10,0.03,0,82.700052,58.11552429,571,184,51,65,0.05,0,72.24629932,50.79130554,441,22,19,19,0,1.222,,,,,,,,,77.01467773,54.97793579,440,332,314,327,0.01,0
9/22/2023 18:10,74.67875146,47.83110046,804,0,155,177,0,0,73.82932373,53.95559692,818,325,9,10,0.031,0,82.68557312,58.15367126,569,185,50,63,0.05,0,72.27525708,51.8289032,431,14,18,19,0,1.216,,,,,,,,,77.01467773,55.21063232,481,494,397,415,0.027,0
9/22/2023 18:15,74.78492993,47.85017395,814,0,138,156,0,0,73.86793408,53.7820282,827,316,8,9,0.03,0,82.69522571,58.05639648,560,187,50,63,0.05,0,72.27525708,50.75125122,429,22,20,21,0,1.185,,,,,,,,,77.01467773,55.3861084,499,462,302,316,0.019,0
9/22/2023 18:20,74.50017859,47.31039429,811,0,118,132,0,0,73.88241296,53.923172,835,306,10,10,0.03,0,82.70970459,58.03160095,560,193,50,62,0.05,0,72.17390491,51.27386475,423,12,16,17,0,1.095,,,,,,,,,77.01467773,55.4490509,507,419,257,269,0.009,0
9/22/2023 18:25,74.68840405,47.82347107,820,0,109,122,0,0,73.90171814,53.74578857,840,289,13,15,0.03,0,82.71935718,58.08309937,559,197,49,62,0.05,0,72.39591443,50.80084229,418,18,16,17,0,1.161,,,,,,,,,77.00985144,55.61880493,512,434,253,265,0.01,0
9/22/2023 18:30,74.62083594,47.29322815,816,0,92,102,0,0,73.97893884,53.66758728,817,209,13,13,0.027,0,82.71453088,58.36538696,555,202,49,61,0.05,0,72.07737903,51.2719574,412,5,16,16,0,1.03,,,,,,,,,77.02915662,55.64360046,520,531,240,251,0.016,0
9/22/2023 18:35,74.59670447,47.36380005,820,0,87,98,0,0,74.00789661,53.35287476,804,229,11,12,0.03,0,82.70970459,58.56947327,549,203,48,60,0.05,0,72.35247778,50.88858032,407,19,20,20,0,1.083,73.97893884,66.74055481,623,93,15,16,0,0,77.06294067,55.73706055,532,543,234,244,0.011,0
9/22/2023 18:40,74.74149329,47.04145813,815,0,76,85,0,0,74.00789661,53.44824219,795,188,12,13,0.026,0,82.67592053,58.63432312,548,202,49,60,0.05,0,72.07255273,51.03926086,400,9,17,18,0,0.977,74.54844153,66.08061218,646,102,16,16,0,0,77.08224585,55.74850464,539,564,221,231,0.009,0
9/22/2023 18:45,74.61118335,46.89077759,801,0,66,77,0,0,74.07546472,53.90028381,773,162,13,14,0.024,0,82.67592053,58.61143494,546,198,47,59,0.05,0,72.37660925,50.83898926,396,19,17,18,0,1.053,,,,,,,,,77.11602991,55.74468994,544,733,216,226,0.017,0
9/22/2023 18:50,74.8911084,47.12156677,825,0,61,74,0,0,74.04650696,53.12208557,769,175,12,12,0.03,0,82.58904724,57.7512207,538,141,45,55,0.043,0,72.19321008,51.43789673,392,11,22,23,0,0.938,75.09863904,65.58088684,711,108,16,17,0,0,77.17394543,55.74278259,545,881,248,258,0.021,0
9/22/2023 18:55,74.53878894,46.61039734,797,0,53,67,0,0,74.02237549,53.03244019,765,182,12,13,0.03,0,82.51665283,56.83187866,493,73,40,48,0.03,0,72.29938855,51.10220337,391,13,16,17,0,0.939,75.18068604,66.66044617,724,140,15,16,0,0,77.22703467,55.80953979,548,1017,281,294,0.024,0
9/22/2023 19:00,74.62083594,47.12156677,855,0,51,67,0,0,74.00307031,53.06677246,778,193,12,14,0.03,0,82.53595801,56.79373169,476,70,40,48,0.03,0,72.30421484,51.55615234,388,18,17,17,0,0.95,,,,,,,,,77.27047131,55.83433533,562,1075,340,357,0.022,0
9/22/2023 19:05,74.65462,46.5226593,794,0,48,61,0,0,73.94032849,54.13298035,792,224,13,14,0.031,0,82.50700024,55.24687195,441,5,34,40,0.02,0,72.29456226,51.29293823,382,15,18,18,0,0.908,,,,,,,,,77.29942908,55.86103821,569,1112,298,313,0.022,0
9/22/2023 19:10,74.70288293,46.78968811,826,0,46,58,0,0,73.92102332,54.71281433,810,219,16,17,0.03,0,82.49734766,54.30845642,379,2,33,38,0.018,0,72.42487219,51.71636963,379,16,17,17,0,0.937,,,,,,,,,77.31873425,55.91635132,579,1179,290,304,0.025,0
9/22/2023 19:15,74.73666699,46.36625671,797,0,44,55,0,0,73.9306759,55.09237671,822,237,22,24,0.03,0,82.4635636,53.45968628,350,3,32,36,0.011,0,72.23182043,51.57713318,377,12,16,16,0,0.851,,,,,,,,,77.32838684,56.03079224,589,1136,284,298,0.016,0
9/22/2023 19:20,74.45191565,46.43873596,783,0,42,53,0,0,73.94998108,54.6842041,882,216,20,21,0.03,0,82.41047437,53.68284607,342,36,31,34,0.018,0,72.3428252,51.37686157,375,16,17,18,0,0.856,,,,,,,,,,,,,,,,
9/22/2023 19:25,,,,,,,,,73.94998108,53.57984924,867,210,17,19,0.028,0,,,,,,,,,72.3428252,52.07495117,372,11,20,20,0,0.834,,,,,,,,,,,,,,,,
9/22/2023 19:30,,,,,,,,,73.94998108,55.22207642,880,236,19,21,0.03,0,82.37669031,52.3114624,306,0,27,28,0.008,0,72.23182043,51.19184875,370,15,23,24,0,0.744,,,,,,,,,75.38821667,51.88612366,568,778,178,186,0,0
